m,chemical potential(water),chemical potential(Na+),chemical potential(Cl-),Ksp
0.0,-8551.14543673,-411066.921948,-320241.179199,7.50851901663e+60
0.01,-8552.00864314,-432685.644549,-341866.026742,2.85584846921e+68
0.02,-8552.85268423,-431057.214098,-340244.13343,7.69103425106e+67
0.03,-8553.68688643,-430114.7489,-339308.427642,3.60379004716e+67
0.04,-8554.51437198,-429450.464703,-338651.062294,2.11391275919e+67
0.05,-8555.3368629,-428937.495146,-338145.136613,1.40114973647e+67
0.06,-8556.15547411,-428519.650624,-337734.438827,1.00288023466e+67
0.07,-8556.97099378,-428167.102214,-337389.124408,7.56694273499e+66
0.08,-8557.78401151,-427862.120431,-337091.452228,5.93309112357e+66
0.09,-8558.5949861,-427593.313298,-336830.02127,4.78999868084e+66
0.1,-8559.40428533,-427352.929807,-336597.073292,3.95698998717e+66
0.11,-8560.21221076,-427135.459473,-336387.091883,3.32994286964e+66
0.12,-8561.01901422,-426936.845913,-336196.015711,2.84529912342e+66
0.13,-8561.82490916,-426754.017441,-336020.768898,2.46241237613e+66
0.14,-8562.63007874,-426584.592806,-335858.966592,2.15426882404e+66
0.15,-8563.43468178,-426426.689118,-335708.722777,1.90232453999e+66
0.16,-8564.23885728,-426278.792152,-335568.520492,1.69349371609e+66
0.17,-8565.04272779,-426139.66623,-335437.12164,1.51831962394e+66
0.18,-8565.84640211,-426008.290019,-335313.502735,1.36982478563e+66
0.19,-8566.64997743,-425883.809789,-335196.808123,1.24276609363e+66
0.2,-8567.45354103,-425765.504748,-335086.315277,1.13313937869e+66
0.21,-8568.25717165,-425652.760875,-334981.408607,1.03784211682e+66
0.22,-8569.06094064,-425545.050889,-334881.559405,9.54438976875e+65
0.23,-8569.86491289,-425441.91869,-334786.31027,8.80995786992e+65
0.24,-8570.66914765,-425342.967141,-334695.26287,8.15959960017e+65
0.25,-8571.47369918,-425247.848353,-334608.068221,7.58073055076e+65
0.26,-8572.27861728,-425156.255892,-334524.418875,7.0630594439e+65
0.27,-8573.08394786,-425067.918465,-334444.042603,6.59810126604e+65
0.28,-8573.88973325,-424982.594761,-334366.697227,6.1788073632e+65
0.29,-8574.69601265,-424900.069206,-334292.166363,5.79928136168e+65
0.3,-8575.50282239,-424820.148442,-334220.2559,5.45455882118e+65
0.31,-8576.31019623,-424742.65838,-334150.791047,5.14043473929e+65
0.32,-8577.11816556,-424667.441739,-334083.613861,4.85332735273e+65
0.33,-8577.92675968,-424594.35595,-334018.581158,4.5901697352e+65
0.34,-8578.73600591,-424523.271386,-333955.56273,4.34832287154e+65
0.35,-8579.54592979,-424454.06985,-333894.43983,4.12550546432e+65
0.36,-8580.35655527,-424386.643266,-333835.103869,3.91973687853e+65
0.37,-8581.16790477,-424320.892568,-333777.455294,3.72929047787e+65
0.38,-8581.97999931,-424256.726724,-333721.402613,3.55265523753e+65
0.39,-8582.79285869,-424194.061896,-333666.86155,3.38850399157e+65
0.4,-8583.60650148,-424132.820703,-333613.754311,3.23566703147e+65
0.41,-8584.42094518,-424072.931574,-333562.008934,3.09311004591e+65
0.42,-8585.23620629,-424014.328189,-333511.558724,2.95991560198e+65
0.43,-8586.05230033,-423956.948974,-333462.341753,2.83526753014e+65
0.44,-8586.86924198,-423900.736662,-333414.300416,2.71843770241e+65
0.45,-8587.68704509,-423845.637903,-333367.381039,2.60877479179e+65
0.46,-8588.50572273,-423791.602915,-333321.533531,2.50569467967e+65
0.47,-8589.32528727,-423738.585172,-333276.711075,2.40867223983e+65
0.48,-8590.14575042,-423686.541131,-333232.869846,2.3172342767e+65
0.49,-8590.96712324,-423635.429981,-333189.968761,2.23095343582e+65
0.5,-8591.78941623,-423585.21342,-333147.969262,2.14944293521e+65
0.51,-8592.6126393,-423535.855454,-333106.835109,2.0723519958e+65
0.52,-8593.43680187,-423487.322217,-333066.532196,1.99936186044e+65
0.53,-8594.26191285,-423439.581807,-333027.028394,1.93018232362e+65
0.54,-8595.08798071,-423392.604135,-332988.293395,1.86454869271e+65
0.55,-8595.91501345,-423346.360794,-332950.298583,1.80221912238e+65
0.56,-8596.74301869,-423300.824935,-332913.016904,1.74297227e+65
0.57,-8597.57200365,-423255.971155,-332876.422762,1.68660522867e+65
0.58,-8598.40197518,-423211.775396,-332840.491911,1.63293170055e+65
0.59,-8599.23293976,-423168.214852,-332805.201363,1.58178037912e+65
0.6,-8600.06490358,-423125.267884,-332770.529305,1.53299351335e+65
0.61,-8600.89787248,-423082.913941,-332736.455018,1.48642563059e+65
0.62,-8601.73185203,-423041.133489,-332702.958805,1.44194239854e+65
0.63,-8602.5668475,-422999.907948,-332670.021928,1.39941960895e+65
0.64,-8603.40286388,-422959.219625,-332637.626544,1.35874226862e+65
0.65,-8604.23990592,-422919.051665,-332605.75565,1.3198037846e+65
