m,watermolal,watermolar,na+molal,na+molar,cl-molal,cl-molar,molefrac ion,,,
0,1,1,1,1,1,1,0,0,0,0
0.05,0.998306555,1.000108487,0.818415246,0.819892476,0.807439474,0.808896893,0.000900868,0.040920762,0.040371974,0.001652052
0.1,0.99666595,1.000263892,0.77568034,0.778480529,0.75406291,0.75678506,0.001798496,0.077568034,0.075406291,0.005849118
0.15,0.995042913,1.000431038,0.751530337,0.755599848,0.719475563,0.723371499,0.002692902,0.11272955,0.107921334,0.012165924
0.2,0.993427125,1.000599625,0.736049309,0.741363553,0.693690079,0.698698491,0.003584101,0.147209862,0.138738016,0.020423604
0.25,0.991813409,1.00076447,0.725671833,0.732220981,0.67309575,0.679170402,0.004472112,0.181417958,0.168273937,0.030527914
0.3,0.990198694,1.00092248,0.718680687,0.726463952,0.65594378,0.663047608,0.005356952,0.215604206,0.196783134,0.042427271
0.35,0.988580987,1.001071632,0.714111355,0.723134096,0.641246259,0.649348356,0.006238637,0.249938974,0.224436191,0.056095351
0.4,0.986958924,1.001210524,0.711366803,0.721638877,0.628388067,0.637461936,0.007117184,0.284546721,0.251355227,0.071522306
0.45,0.985331535,1.001338149,0.71005163,0.721586348,0.616959356,0.626981799,0.007992611,0.319523233,0.27763171,0.088709782
0.5,0.983698119,1.001453762,0.709890551,0.722703997,0.606673012,0.617623393,0.008864934,0.354945276,0.303336506,0.10766786
0.55,0.98205816,1.001556806,0.710684388,0.724794941,0.597319968,0.609179684,0.009734169,0.390876414,0.328525982,0.128413058
0.6,0.980411277,1.001646855,0.712284549,0.727712539,0.588743223,0.601495324,0.010600332,0.42737073,0.353245934,0.150966973
0.65,0.97875719,1.001723587,0.714577381,0.731344837,0.580821869,0.594450771,0.01146344,0.464475298,0.377534215,0.175355317
0.7,0.977095697,1.001786754,0.717474139,0.7356046,0.573460819,0.587952085,0.01232351,0.502231898,0.401422573,0.201607221
0.75,0.975426655,1.00183617,0.720904312,0.740422678,0.566583959,0.581924126,0.013180556,0.540678234,0.424937969,0.229754711
0.8,0.973749968,1.001871696,0.724811036,0.745743451,0.560129425,0.576305864,0.014034595,0.579848829,0.44810354,0.259832313
0.85,0.972065579,1.001893229,0.729147865,0.751521631,0.554046269,0.571047075,0.014885643,0.619775685,0.470939329,0.291876745
0.9,0.970373459,1.001900701,0.733876437,0.757719937,0.548292045,0.566105945,0.015733716,0.660488793,0.493462841,0.325926676
0.95,0.968673607,1.001894066,0.738964761,0.764307403,0.542831028,0.561447305,0.016578828,0.702016523,0.515689477,0.362022534
1,0.966966041,1.001873302,0.74438593,0.771258098,0.537632874,0.557041302,0.017420996,0.74438593,0.537632874,0.400206347
1.05,0.965250795,1.001838403,0.75011714,0.778550157,0.532671599,0.552862393,0.018260234,0.787622997,0.559305179,0.440521621
1.1,0.963527919,1.001789379,0.756138942,0.786165036,0.527924791,0.548888556,0.019096559,0.831752836,0.58071727,0.483013236
1.15,0.961797473,1.001726252,0.762434643,0.794086924,0.523372988,0.545100685,0.019929985,0.876799839,0.601878936,0.527727354
1.2,0.960059529,1.001649054,0.768989847,0.802302284,0.518999188,0.541482095,0.020760527,0.922787816,0.622799025,0.574711352
